filename,kind,model,date,time_ref,geometry,cutoff,origin,nativefmt,start,stop,step,dispo_time,block,namespace,alternate
france_j2j3_[date]_maj19,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,51,96,3,19,MAJ19,vortex.cache.fr,france_j2j3_[date]_maj18
france_j2j3_[date]_maj20,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,51,96,3,20,MAJ20,vortex.cache.fr,france_j2j3_[date]_maj19
france_j2j3_[date]_maj21,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,51,120,3,21,MAJ21,vortex.cache.fr,france_j2j3_[date]_maj20
france_j2j3_[date]_maj22,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,51,120,3,22,MAJ22,vortex.cache.fr,france_j2j3_[date]_maj21
france_j2j3_[date]_maj23,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,51,120,3,23,MAJ23,vortex.cache.fr,france_j2j3_[date]_maj22
monde_j4j14_[date]_maj09,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,99,360,3,9,MAJ09,vortex.cache.fr,monde_j4j14_[date-1]_maj21
monde_j4j14_[date]_maj21,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,99,372,3,21,MAJ21,vortex.cache.fr,monde_j4j14_[date]_maj09
france_h36_[date]_maj03,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,3,51,1,3,MAJ03,vortex.cache.fr,france_h36_[date-1]_maj20
france_h36_[date]_maj07,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,7,58,1,7,MAJ07,vortex.cache.fr,france_h36_[date]_maj03
france_h36_[date]_maj15,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,15,66,1,15,MAJ15,vortex.cache.fr,france_h36_[date]_maj07
france_h36_[date]_maj20,promethee_gridpoint,promethee,0,utc,eurw1s40,production,post,netcdf,20,71,1,20,MAJ20,vortex.cache.fr,france_h36_[date]_maj15
france_jj14_[date]_maj00,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,0,MAJ00,vortex.cache.fr,france_jj14_[date-1]_maj23
france_jj14_[date]_maj01,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,1,MAJ01,vortex.cache.fr,france_jj14_[date]_maj00
france_jj14_[date]_maj02,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,2,MAJ02,vortex.cache.fr,france_jj14_[date]_maj01
france_jj14_[date]_maj03,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,3,MAJ03,vortex.cache.fr,france_jj14_[date]_maj02
france_jj14_[date]_maj04,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,4,MAJ04,vortex.cache.fr,france_jj14_[date]_maj03
france_jj14_[date]_maj05,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,5,MAJ05,vortex.cache.fr,france_jj14_[date]_maj04
france_jj14_[date]_maj06,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,6,MAJ06,vortex.cache.fr,france_jj14_[date]_maj05
france_jj14_[date]_maj07,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,7,MAJ07,vortex.cache.fr,france_jj14_[date]_maj06
france_jj14_[date]_maj08,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,8,MAJ08,vortex.cache.fr,france_jj14_[date]_maj07
france_jj14_[date]_maj09,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,9,MAJ09,vortex.cache.fr,france_jj14_[date]_maj08
france_jj14_[date]_maj10,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,10,MAJ10,vortex.cache.fr,france_jj14_[date]_maj09
france_jj14_[date]_maj11,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,11,MAJ11,vortex.cache.fr,france_jj14_[date]_maj10
france_jj14_[date]_maj12,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,12,MAJ12,vortex.cache.fr,france_jj14_[date]_maj11
france_jj14_[date]_maj13,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,13,MAJ13,vortex.cache.fr,france_jj14_[date]_maj12
france_jj14_[date]_maj14,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,14,MAJ14,vortex.cache.fr,france_jj14_[date]_maj13
france_jj14_[date]_maj15,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,15,MAJ15,vortex.cache.fr,france_jj14_[date]_maj14
france_jj14_[date]_maj16,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,16,MAJ16,vortex.cache.fr,france_jj14_[date]_maj15
france_jj14_[date]_maj17,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,17,MAJ17,vortex.cache.fr,france_jj14_[date]_maj16
france_jj14_[date]_maj18,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,18,MAJ18,vortex.cache.fr,france_jj14_[date]_maj17
france_jj14_[date]_maj19,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,19,MAJ19,vortex.cache.fr,france_jj14_[date]_maj18
france_jj14_[date]_maj20,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,96,3,20,MAJ20,vortex.cache.fr,france_jj14_[date]_maj19
france_jj14_[date]_maj21,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,120,3,21,MAJ21,vortex.cache.fr,france_jj14_[date]_maj20
france_jj14_[date]_maj22,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,120,3,22,MAJ22,vortex.cache.fr,france_jj14_[date]_maj21
france_jj14_[date]_maj23,promethee_gridpoint,promethee,0,utc,eurw1s100,production,post,netcdf,51,120,3,23,MAJ23,vortex.cache.fr,france_jj14_[date]_maj22
om_jj1_[date]_maj00,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,0,48,1,0,MAJ00,vortex.cache.fr,om_jj1_[date-1]_maj23
om_jj1_[date]_maj01,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,1,48,1,1,MAJ01,vortex.cache.fr,om_jj1_[date]_maj00
om_jj1_[date]_maj02,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,2,48,1,2,MAJ02,vortex.cache.fr,om_jj1_[date]_maj01
om_jj1_[date]_maj03,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,3,48,1,3,MAJ03,vortex.cache.fr,om_jj1_[date]_maj02
om_jj1_[date]_maj04,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,4,48,1,4,MAJ04,vortex.cache.fr,om_jj1_[date]_maj03
om_jj1_[date]_maj05,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,5,48,1,5,MAJ05,vortex.cache.fr,om_jj1_[date]_maj04
om_jj1_[date]_maj06,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,6,48,1,6,MAJ06,vortex.cache.fr,om_jj1_[date]_maj05
om_jj1_[date]_maj07,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,7,48,1,7,MAJ07,vortex.cache.fr,om_jj1_[date]_maj06
om_jj1_[date]_maj08,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,8,48,1,8,MAJ08,vortex.cache.fr,om_jj1_[date]_maj07
om_jj1_[date]_maj09,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,9,48,1,9,MAJ09,vortex.cache.fr,om_jj1_[date]_maj08
om_jj1_[date]_maj10,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,10,48,1,10,MAJ10,vortex.cache.fr,om_jj1_[date]_maj09
om_jj1_[date]_maj11,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,11,48,1,11,MAJ11,vortex.cache.fr,om_jj1_[date]_maj10
om_jj1_[date]_maj12,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,12,48,1,12,MAJ12,vortex.cache.fr,om_jj1_[date]_maj11
om_jj1_[date]_maj13,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,13,48,1,13,MAJ13,vortex.cache.fr,om_jj1_[date]_maj12
om_jj1_[date]_maj14,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,14,48,1,14,MAJ14,vortex.cache.fr,om_jj1_[date]_maj13
om_jj1_[date]_maj15,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,15,48,1,15,MAJ15,vortex.cache.fr,om_jj1_[date]_maj14
om_jj1_[date]_maj16,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,16,48,1,16,MAJ16,vortex.cache.fr,om_jj1_[date]_maj15
om_jj1_[date]_maj17,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,17,48,1,17,MAJ17,vortex.cache.fr,om_jj1_[date]_maj16
om_jj1_[date]_maj18,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,18,48,1,18,MAJ18,vortex.cache.fr,om_jj1_[date]_maj17
om_jj1_[date]_maj19,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,19,48,1,19,MAJ19,vortex.cache.fr,om_jj1_[date]_maj18
om_jj1_[date]_maj20,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,20,48,1,20,MAJ20,vortex.cache.fr,om_jj1_[date]_maj19
om_jj1_[date]_maj21,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,21,48,1,21,MAJ21,vortex.cache.fr,om_jj1_[date]_maj20
om_jj1_[date]_maj22,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,22,48,1,22,MAJ22,vortex.cache.fr,om_jj1_[date]_maj21
om_jj1_[date]_maj23,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,23,72,1,23,MAJ23,vortex.cache.fr,om_jj1_[date]_maj22
om_j2j3_[date]_maj00,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,0,MAJ00,vortex.cache.fr,om_j2j3_[date-1]_maj23
om_j2j3_[date]_maj01,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,1,MAJ01,vortex.cache.fr,om_j2j3_[date]_maj00
om_j2j3_[date]_maj02,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,2,MAJ02,vortex.cache.fr,om_j2j3_[date]_maj01
om_j2j3_[date]_maj03,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,3,MAJ03,vortex.cache.fr,om_j2j3_[date]_maj02
om_j2j3_[date]_maj04,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,4,MAJ04,vortex.cache.fr,om_j2j3_[date]_maj03
om_j2j3_[date]_maj05,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,5,MAJ05,vortex.cache.fr,om_j2j3_[date]_maj04
om_j2j3_[date]_maj06,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,6,MAJ06,vortex.cache.fr,om_j2j3_[date]_maj05
om_j2j3_[date]_maj07,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,7,MAJ07,vortex.cache.fr,om_j2j3_[date]_maj06
om_j2j3_[date]_maj08,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,8,MAJ08,vortex.cache.fr,om_j2j3_[date]_maj07
om_j2j3_[date]_maj09,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,9,MAJ09,vortex.cache.fr,om_j2j3_[date]_maj08
om_j2j3_[date]_maj10,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,10,MAJ10,vortex.cache.fr,om_j2j3_[date]_maj09
om_j2j3_[date]_maj11,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,11,MAJ11,vortex.cache.fr,om_j2j3_[date]_maj10
om_j2j3_[date]_maj12,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,12,MAJ12,vortex.cache.fr,om_j2j3_[date]_maj11
om_j2j3_[date]_maj13,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,13,MAJ13,vortex.cache.fr,om_j2j3_[date]_maj12
om_j2j3_[date]_maj14,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,14,MAJ14,vortex.cache.fr,om_j2j3_[date]_maj13
om_j2j3_[date]_maj15,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,15,MAJ15,vortex.cache.fr,om_j2j3_[date]_maj14
om_j2j3_[date]_maj16,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,16,MAJ16,vortex.cache.fr,om_j2j3_[date]_maj15
om_j2j3_[date]_maj17,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,17,MAJ17,vortex.cache.fr,om_j2j3_[date]_maj16
om_j2j3_[date]_maj18,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,18,MAJ18,vortex.cache.fr,om_j2j3_[date]_maj17
om_j2j3_[date]_maj19,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,19,MAJ19,vortex.cache.fr,om_j2j3_[date]_maj18
om_j2j3_[date]_maj20,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,96,3,20,MAJ20,vortex.cache.fr,om_j2j3_[date]_maj19
om_j2j3_[date]_maj21,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,120,3,21,MAJ21,vortex.cache.fr,om_j2j3_[date]_maj20
om_j2j3_[date]_maj22,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,120,3,22,MAJ22,vortex.cache.fr,om_j2j3_[date]_maj21
om_j2j3_[date]_maj23,promethee_gridpoint,promethee,0,utc,globd01,production,post,netcdf,51,120,3,23,MAJ23,vortex.cache.fr,om_j2j3_[date]_maj22
